"Source:","C:\Users\evanc\Dropbox\Projects\Porsche\Quad Gauge\PCB\KiCad\Porsche Quad Gauge.sch"
"Date:","12/14/2020 2:12:16 PM"
"Tool:","Eeschema (5.1.7)-1"
"Component Count:","53"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"12V1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"ALTERNATOR1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"BRAKE_GND1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"C1","10uF","Porsche Quad Gauge:0805","","",""
"C2","10uF","Porsche Quad Gauge:0805","","",""
"C3","10uF","Porsche Quad Gauge:0805","","",""
"C4","10uF","Porsche Quad Gauge:0805","","",""
"C5","10uF","Porsche Quad Gauge:0805","","",""
"C6","10uF","Porsche Quad Gauge:0805","","",""
"C7","0.1uF","Porsche Quad Gauge:0805","","",""
"COOLANT_TEMP1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"COOLANT_TEMP_GAUGE1","VDO_OLD","Porsche Quad Gauge:VDO_GAUGE_SOCKET","","",""
"D1","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D2","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D3","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D4","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D5","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D6","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D7","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D8","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D9","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D10","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D11","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"D12","WS2812B","Porsche Quad Gauge:WS2812B","","",""
"FLASHER1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"FUEL1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"FUEL_GAUGE1","VDO_OLD","Porsche Quad Gauge:VDO_GAUGE_SOCKET","","",""
"FUEL_LOW1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"GND1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"J1","AVR_SPI_PROG_3X2TESTPOINTS","Porsche Quad Gauge:2X3_TEST_POINTS","","",""
"J2","CONN_02","Porsche Quad Gauge:1X02","","",""
"LIGHT1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"OIL_LOW1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"OIL_PRESSURE1","CONNECTOR_QC_TAB_0.25","Porsche Quad Gauge:CONNECTOR_QC_TAB-0.25","","",""
"OIL_PRESSURE_GAUGE1","VDO_NEW","Porsche Quad Gauge:VDO_NEW_GAUGE_SOCKET","","",""
"OSC1","PRQC16.00SR1010V00L","Porsche Quad Gauge:3-SMD","","",""
"R1","1.2K","Porsche Quad Gauge:0805","","",""
"R2","1.2K","Porsche Quad Gauge:0805","","",""
"R3","1.2K","Porsche Quad Gauge:0805","","",""
"R4","1.2K","Porsche Quad Gauge:0805","","",""
"R5","1k","Porsche Quad Gauge:0805","","",""
"R6","1k","Porsche Quad Gauge:0805","","",""
"R7","1k","Porsche Quad Gauge:0805","","",""
"R8","10K","Porsche Quad Gauge:0805","","",""
"R9","1M","Porsche Quad Gauge:0805","","",""
"R10","392","Porsche Quad Gauge:0805","","",""
"R11","392","Porsche Quad Gauge:0805","","",""
"R12","392","Porsche Quad Gauge:0805","","",""
"R13","392","Porsche Quad Gauge:0805","","",""
"U1","ATMEGA328P_TQFP","Porsche Quad Gauge:TQFP32-08","","",""
"U2","TLP290-4","Porsche Quad Gauge:SO16","","",""
"U3","L4941BDT-TR","Porsche Quad Gauge:D-PAK_TO252AA","","",""
"VOLTAGE_GAUGE1","VDO_NEW","Porsche Quad Gauge:VDO_NEW_GAUGE_SOCKET","","",""
